Code Article;Désignation courte article;Stock
BIJCOI;;1
CAPPRC;;-18
CCFACCURLS300;;108
CCFACCURLY200;;5
CCFBBBARBE050;;2
CCFBBCOLORBRF;;27
CCFBBCOLORNOI;;18
CCFBBEXTRA100;;36
CCFELAF100100;;62
CCFELAFX04150;;44
CCFELAFX06125;;0
CCFELAFX40100;;2
CCFELAFX55100;;6
CCFELAFX70100;;100
CCFELAFX79150;;22
CCFELAFX80001;;11
CCFELAFX83150;;12
CCFELAFX88200;;13
CCFELAFX99200;;-1
CCFELIMPUR150;;13
CCFELMANBB040;;2
CCFELMNGEL150;;142
CCFELMNPOM100;;2
CCFELMWWAX100;;0
CCFERM33--100;;26
CCFER-S03-300;;9
CCFERS04CW100;;4
CCFER-S05-100;;29
CCFERS07EG150;;15
CCFERS33--150;;53
CCFERS35EG100;;3
CCFEVBAUME150;;0
CCFKGBCOCO200;;36
CCFKGCCRIC200;;0
CCFKGCCRIC250;;0
CCFKGKGGAV200;;9
CCFKGKGGMO200;;6
CCFKLAFLAF125;;35
CCFKLAFLFL125;;33
CCFKLAFROH250;;124
CCFKLAFROL100;;5
CCFKLAFROR250;;165
CCFKLBRIZO100;;11
CCFKLDYVAC250;;161
CCFKLEXTRA100;;27
CCFKLEXTRA200;;8
CCFKLMETAL100;;2
CCFKLPEACH500;;5
CCFKLSWING100;;23
CCFKMADRNL200;;17
CCFKMAFTER100;;5
CCFKMFIXGU100;;12
CCFKMHELMG150;;4
CCFKMHICUR200;;736
CCFKMHMCTR200;;536
CCFKMHMCUR200;;225
CCFKMMANYASPR;;12
CCFKMMATEF100;;2
CCFKMRAING150;;7
CCFKMRASER125;;3
CCFKMSCULP250;;42
CCFKMSMODG100;;0
CCFKMSSHPC150;;1
CCFKMZEROG100;;16
CCFKRKARIT100;;1
CCFLPEXTRA125;;-1
CCFLPMODEL125;;1
CCFLPSHINE125;;3
CCFLVHARDG100;;1
CCFLVJAZZG250;;1
CCFLVTEXTS100;;1
CCFOPTOYPA050;;5
CCFSFSTLGL250;;8
CCFSWMACAD250;;7
CHXPRDREADPAQ;;-34
CHXXXEXTENCHD;;-921
CHXXXEXTENFRD;;-1
CHXXXEXTENKIT;;2
CHXXXEXTENPAQ;;-21
COLAC03/43060;;0
COLAC04/43060;;0
COLACM1VIO060;;0
COLEL00/00125;;30
COLEL01/11125;;15
COLEL04/03125;;19
COLEL04/07125;;12
COLEL04/81125;;57
COLEL04/85125;;14
COLEL04/88125;;10
COLEL05/00125;;17
COLEL05/01125;;14
COLEL05/03125;;3
COLEL05/05125;;19
COLEL05/06125;;14
COLEL05/09125;;12
COLEL05/11125;;10
COLEL05/55125;;13
COLEL05/61125;;0
COLEL05/81125;;37
COLEL05/82125;;12
COLEL05/85125;;17
COLEL05/88125;;11
COLEL06/00125;;31
COLEL06/01125;;7
COLEL06/03125;;8
COLEL06/04125;;17
COLEL06/05125;;16
COLEL06/07125;;15
COLEL06/09125;;12
COLEL06/11125;;12
COLEL06/38125;;50
COLEL06/41125;;11
COLEL06/55125;;14
COLEL06/57125;;23
COLEL06/81125;;13
COLEL06/85125;;24
COLEL06/88125;;12
COLEL07/00125;;15
COLEL07/01125;;5
COLEL07/03125;;5
COLEL07/09125;;13
COLEL07/11125;;18
COLEL07/38125;;10
COLEL07/43125;;1
COLEL07/44125;;8
COLEL07/54125;;14
COLEL07/55125;;19
COLEL07/81125;;41
COLEL07/82125;;12
COLEL07/85125;;17
COLEL07/88125;;12
COLEL08/00125;;27
COLEL08/01125;;11
COLEL08/03125;;9
COLEL08/09125;;12
COLEL08/11125;;17
COLEL08/17125;;10
COLEL08/27125;;13
COLEL08/31125;;12
COLEL08/34125;;1
COLEL08/43125;;15
COLEL09/00125;;14
COLEL09/01125;;9
COLEL09/03125;;3
COLEL09/09125;;12
COLEL09/11125;;14
COLEL09/17125;;13
COLEL09/27125;;8
COLEL09/31125;;8
COLEL09/42125;;1
COLEL09/81125;;32
COLEL10/00125;;9
COLEL10/17125;;12
COLEL10/18125;;5
COLEL10/23125;;8
COLEL10/27125;;1
COLEL10/31125;;9
COLEL10/38125;;5
COLEL10/71125;;10
COLEL10011125;;12
COLEL10-03060;;9
COLEL10-04060;;7
COLEL10-05060;;22
COLEL10-06060;;17
COLEL10-07060;;16
COLEL10-09060;;16
COLEL10105125;;16
COLEL10107125;;5
COLEL10112125;;5
COLEL10377060;;5
COLEL104CH060;;22
COLEL105.1060;;11
COLEL105.3060;;15
COLEL105.5060;;24
COLEL105CH060;;6
COLEL105MK060;;8
COLEL106CH060;;13
COLEL107.3060;;18
COLEL11/01125;;20
COLEL12/00125;;5
COLEL12/01125;;13
COLEL12/11125;;7
COLEL12/13125;;5
COLEL12/17125;;15
COLEL12/72125;;15
COLEL901--125;;12
COLEL977--125;;9
COLELANROS125;;12
COLELARANC125;;23
COLELBLEU-125;;10
COLELC0.0-100;;24
COLELC1.1-100;;7
COLELC10.0100;;12
COLELC10.1100;;16
COLELC10.3100;;16
COLELC10--100;;15
COLELC1027100;;9
COLELC1031100;;8
COLELC11.0100;;20
COLELC1---100;;20
COLELC1111100;;7
COLELC1127100;;13
COLELC1171100;;7
COLELC3---100;;29
COLELC4.0-100;;17
COLELC4.7-100;;5
COLELC4.8-100;;16
COLELC4---100;;49
COLELC5.0-100;;11
COLELC5.1-100;;14
COLELC5.3-100;;15
COLELC5.4-100;;25
COLELC5.5-100;;11
COLELC5.6-100;;10
COLELC5.7-100;;8
COLELC5.8-100;;27
COLELC5.81100;;19
COLELC5---100;;1
COLELC6.0-100;;45
COLELC6.1-100;;15
COLELC6.11100;;12
COLELC6.27100;;46
COLELC6.3-100;;9
COLELC6.44100;;11
COLELC6.45100;;2
COLELC6.5-100;;12
COLELC6.55100;;5
COLELC6.8-100;;17
COLELC6.81100;;25
COLELC6---100;;21
COLELC7.0-100;;0
COLELC7.1-100;;17
COLELC7.11100;;14
COLELC7.27100;;27
COLELC7.3-100;;5
COLELC7.31100;;8
COLELC7.4-100;;2
COLELC7.43100;;7
COLELC7.44100;;9
COLELC7.45100;;14
COLELC7.55100;;17
COLELC7.8-100;;11
COLELC7.81100;;14
COLELC7---100;;4
COLELC8.0-100;;12
COLELC8.04100;;8
COLELC8.1-100;;11
COLELC8.11100;;18
COLELC8.27100;;17
COLELC8.3-100;;6
COLELC8.31100;;4
COLELC8.34100;;13
COLELC8.4-100;;9
COLELC8.8-100;;15
COLELC8---100;;10
COLELC9.0-100;;23
COLELC9.1-100;;4
COLELC9.11100;;8
COLELC9.27100;;9
COLELC9.3-100;;8
COLELC9.31100;;8
COLELC9.33100;;11
COLELC9---100;;24
COLELCLCRM125;;12
COLELD1.1-100;;16
COLELD1---100;;46
COLELD3---100;;30
COLELD4.6-100;;12
COLELD4.7-100;;17
COLELD4.83100;;21
COLELD4.8M100;;48
COLELD4---100;;50
COLELD5.01100;;19
COLELD5.1-100;;4
COLELD5.2-100;;4
COLELD5.3-100;;16
COLELD5.5-100;;7
COLELD5.55100;;12
COLELD5.6-100;;12
COLELD5.7-100;;14
COLELD5.83100;;11
COLELD5.88100;;8
COLELD5.8M100;;20
COLELD5---100;;33
COLELD6.01100;;15
COLELD6.1-100;;12
COLELD6.2-100;;14
COLELD6.3-100;;19
COLELD6.4-100;;0
COLELD6.44100;;15
COLELD6.5-100;;11
COLELD6.83100;;9
COLELD6.88100;;25
COLELD6.8M100;;26
COLELD6---100;;33
COLELD7.01100;;13
COLELD7.1-100;;7
COLELD7.2-100;;3
COLELD7.3-100;;6
COLELD7.4-100;;8
COLELD7.44100;;39
COLELD7.83100;;22
COLELD7.88100;;15
COLELD7.8M100;;22
COLELD7---100;;33
COLELD8.01100;;15
COLELD8.1-100;;0
COLELD8.2-100;;16
COLELD8.3-100;;5
COLELD8.4-100;;5
COLELD8---100;;15
COLELD9.1-100;;10
COLELD9.2-100;;4
COLELD9.3-100;;21
COLELD907-100;;19
COLELD9---100;;30
COLELD911-100;;34
COLELD923-100;;17
COLELG1001100;;12
COLELG102-100;;6
COLELG104-100;;10
COLELG107-100;;8
COLELG11.2100;;0
COLELG3.7-100;;7
COLELG4.6-100;;4
COLELG7.01100;;3
COLELG9.01100;;7
COLELGM5.1100;;16
COLELGM5.3100;;12
COLELGM5.4100;;9
COLELGM5.5100;;9
COLELGM6.1100;;5
COLELGM6.3100;;6
COLELGM6.4100;;17
COLELGM6.5100;;6
COLELGM7.1100;;6
COLELGM7.3100;;5
COLELGM7.4100;;4
COLELIC/03200;;12
COLELIC/04200;;7
COLELIC/0425G;;0
COLELIC/06200;;16
COLELIC/08200;;8
COLELIC/0825G;;0
COLELIC/17200;;12
COLELIC/23200;;10
COLELIC/34200;;14
COLELIC/44200;;11
COLELIC/55200;;10
COLELIC/5525G;;0
COLELIC/56200;;12
COLELIC/5625G;;21
COLELIC/77200;;15
COLELIC/7725G;;18
COLELIC026200;;11
COLELIC057200;;13
COLELIC071200;;9
COLELIC111200;;5
COLELIC11125G;;0
COLELIC991200;;6
COLELILFDA200;;18
COLELILFPA200;;19
COLELILFVI200;;25
COLELILNCA100;;4
COLELILNCO100;;13
COLELILNES100;;9
COLELILNPB100;;19
COLELILNPY100;;35
COLELILPPR100;;10
COLELILT01100;;6
COLELILT03100;;31
COLELILT04100;;0
COLELILT08100;;12
COLELILT15100;;6
COLELILTAQ100;;18
COLELILTHP100;;17
COLELILTSA100;;23
COLELILTSS100;;28
COLELILTUS100;;21
COLELILTVN100;;23
COLELILTWO100;;24
COLELIM100060;;14
COLELIM102060;;12
COLELIM111060;;7
COLELIM117060;;1
COLELIM127060;;1
COLELIM171060;;1
COLELIM555060;;11
COLELIM577060;;7
COLELIM583060;;14
COLELIM685060;;32
COLELIM713060;;9
COLELIM755060;;9
COLELIM781060;;13
COLELIM811060;;14
COLELIM901060;;11
COLELIM911060;;10
COLELIM927060;;11
COLELIMG10060;;14
COLELIMG30060;;10
COLELIMG40060;;15
COLELIMG5.060;;13
COLELIMG50060;;14
COLELIMG60060;;13
COLELIMG61060;;15
COLELIMG64060;;10
COLELIMG7.060;;3
COLELIMG70060;;10
COLELIMG73060;;7
COLELIMG80060;;12
COLELIMG82060;;12
COLELIMG84060;;8
COLELIMG90060;;14
COLELIMG93060;;25
COLELMAN02080;;2
COLELMAN04080;;0
COLELMAN05080;;9
COLELMAN07080;;13
COLELMAN11080;;7
COLELMANEB150;;12
COLELMANEC150;;9
COLELMANSI150;;7
COLELMECHE10M;;6
COLELMECHEGTD;;15
COLELMECHEGTF;;30
COLELMECHEGTN;;3
COLELMECHEICA;;0
COLELMECHEILT;;6
COLELMECHEIMG;;26
COLELMECHEM&S;;5
COLELMECHEMAC;;4
COLELMECHEMAN;;7
COLELMECHEMMS;;11
COLELNUM01125;;17
COLELNUM03125;;36
COLELNUM04125;;0
COLELNUM05125;;42
COLELNUM06125;;44
COLELNUM07125;;7
COLELNUM08125;;42
COLELNUM09125;;7
COLELNUM10125;;17
COLELROSSO125;;9
COLELVIOLT125;;22
COLER00/20100;;5
COLER11/10100;;2
COLER12/12100;;12
COLERB1100120;;12
COLERB1110120;;6
COLERB1111120;;17
COLERB1118120;;6
COLERB1120120;;7
COLERB1132120;;5
COLERB1142120;;10
COLERB1180120;;6
COLERCLC00100;;11
COLERCLC01100;;14
COLERCLC02100;;82
COLERCLC03100;;33
COLERCLC04100;;17
COLERCLC05100;;23
COLERCLC06100;;17
COLERCLC07100;;153
COLERCLC08100;;20
COLERCLC09100;;20
COLERCLC10100;;5
COLERCLC11100;;94
COLERCLC12100;;6
COLERE11/0120;;10
COLEREM.10120;;6
COLEREM10.120;;5
COLEREM10/120;;4
COLEREM101120;;10
COLEREM132120;;0
COLEREM180120;;21
COLEREM430120;;28
COLEREM462120;;6
COLEREM465120;;0
COLEREM466120;;12
COLEREM480120;;15
COLEREM503120;;12
COLEREM530120;;5
COLEREM534120;;12
COLEREM550120;;10
COLEREM559120;;7
COLEREM560120;;7
COLEREM561120;;10
COLEREM562120;;6
COLEREM565120;;0
COLEREM566120;;21
COLEREM590120;;7
COLEREM599120;;0
COLEREM601120;;12
COLEREM603120;;11
COLEREM610120;;5
COLEREM611120;;17
COLEREM612120;;11
COLEREM630120;;2
COLEREM634120;;0
COLEREM640120;;0
COLEREM659120;;11
COLEREM660120;;0
COLEREM661120;;12
COLEREM662120;;10
COLEREM665120;;0
COLEREM666120;;16
COLEREM680120;;1
COLEREM690120;;18
COLEREM699120;;0
COLEREM701120;;12
COLEREM703120;;10
COLEREM710120;;16
COLEREM711120;;17
COLEREM712120;;9
COLEREM730120;;3
COLEREM732120;;4
COLEREM734120;;2
COLEREM740120;;8
COLEREM744120;;3
COLEREM750120;;11
COLEREM759120;;12
COLEREM760120;;10
COLEREM761120;;12
COLEREM762120;;12
COLEREM765120;;5
COLEREM766120;;30
COLEREM780120;;7
COLEREM790120;;15
COLEREM799120;;0
COLEREM8/0120;;6
COLEREM801120;;12
COLEREM803120;;11
COLEREM810120;;12
COLEREM811120;;14
COLEREM812120;;12
COLEREM830120;;6
COLEREM832120;;15
COLEREM834120;;1
COLEREM840120;;12
COLEREM860120;;5
COLEREM866120;;4
COLEREM880120;;5
COLEREM9/0120;;17
COLEREM910120;;12
COLEREM911120;;13
COLEREM912120;;11
COLEREM932120;;16
COLEREM966120;;10
COLEREMM10120;;4
COLEREMM20120;;4
COLEREMM30120;;3
COLEREMM40120;;25
COLEREMM80120;;8
COLEREMM90120;;0
COLEREQ1/0120;;0
COLEREQJAU120;;19
COLEREQVIO120;;0
COLERGAM01200;;12
COLERGAM03200;;31
COLERGN500100;;0
COLERMECHEEQM;;3
COLERMX0/9100;;0
COLHRBELLA115;;3
COLHRBLANC115;;6
COLHRBLOOD115;;0
COLHRCYNTH115;;0
COLHRDAHLI115;;7
COLHRDAISY115;;4
COLHRFELIC115;;4
COLHRFIONA115;;-1
COLHRGILDA115;;9
COLHRHAILE115;;6
COLHRLYDIA115;;2
COLHRMAGGI115;;1
COLHRMARGE115;;2
COLHRMATHI115;;5
COLHRMECHECHT;;0
COLHRMILEY115;;9
COLHROLIVI115;;4
COLHRPASTY115;;0
COLHRPEGGY115;;0
COLHRPOLLY115;;0
COLHRROSEM115;;0
COLHRROSIE115;;11
COLHRRUBYR115;;-1
COLHRSCARL115;;0
COLHRSTELA115;;9
COLHRSYLVI115;;3
COLHRTAMMY115;;4
COLHRTARAT115;;2
COLHRTHELM115;;16
COLHRVERON115;;16
COLHRVICKY115;;13
COLKL05/00100;;0
COLKL10.1-100;;0
COLKL10---100;;0
COLKL1----100;;0
COLKL12.1-100;;0
COLKL2----100;;3
COLKL3----100;;0
COLKL4.26-100;;0
COLKL4----100;;0
COLKL5.1--100;;0
COLKL5.2--100;;0
COLKL5.3--100;;0
COLKL6.0--100;;0
COLKL6.35-100;;0
COLKL6----100;;0
COLKL7.0--100;;0
COLKL7.1--100;;0
COLKL7.77-100;;0
COLKL7----100;;0
COLKL77.44100;;0
COLKL8.0--100;;0
COLKL8.3--100;;0
COLKL8----100;;0
COLKL9.0--100;;0
COLKL9.1--100;;0
COLKL9----100;;0
COLKLBRONZ100;;1
COLKLCAFE-100;;1
COLKLCHOCO100;;0
COLKLF1025100;;2
COLKLFB1--100;;0
COLKLFE1--100;;0
COLKLFE2--100;;0
COLKLFE3--100;;0
COLKLFG1--100;;0
COLKLFM2--100;;0
COLKLFM4--100;;0
COLKLFP1--100;;0
COLKLFSILV100;;0
COLKLMAGTB100;;8
COLKLMAGTC100;;4
COLKLMAGTM100;;6
COLKLMAGTN100;;10
COLKLNOISE100;;1
COLKLSP128300;;11
COLKLSP901300;;2
COLKLSP902300;;17
COLKMGREYMKIT;;2
COLKMMECHE100;;9
COLKMS.12-100;;35
COLKMS.13-100;;32
COLKMS.3--100;;39
COLKMS1.11100;;28
COLKMS10.1100;;15
COLKMS10.3100;;65
COLKMS100-100;;38
COLKMS10--100;;40
COLKMS1013100;;58
COLKMS1---100;;97
COLKMS110-100;;37
COLKMS113-100;;58
COLKMS121-100;;24
COLKMS3---100;;71
COLKMS4.20100;;31
COLKMS4.35100;;76
COLKMS4.45100;;60
COLKMS4.65100;;59
COLKMS4---100;;82
COLKMS5.1-100;;30
COLKMS5.20100;;19
COLKMS5.3-100;;31
COLKMS5.35100;;31
COLKMS5.4-100;;42
COLKMS5.41100;;32
COLKMS5.5-100;;43
COLKMS5.60100;;20
COLKMS5.66100;;38
COLKMS5---100;;30
COLKMS6.1-100;;42
COLKMS6.13100;;70
COLKMS6.3-100;;11
COLKMS6.32100;;24
COLKMS6.34100;;45
COLKMS6.4-100;;36
COLKMS6.41100;;37
COLKMS6.46100;;45
COLKMS6.60100;;33
COLKMS6.64100;;31
COLKMS6.66100;;33
COLKMS6---100;;41
COLKMS7.1-100;;10
COLKMS7.13100;;45
COLKMS7.3-100;;40
COLKMS7.32100;;8
COLKMS7.35100;;38
COLKMS7.40100;;42
COLKMS7.4-100;;27
COLKMS7.45100;;39
COLKMS7.66100;;36
COLKMS7---100;;29
COLKMS8.04100;;10
COLKMS8.1-100;;10
COLKMS8.13100;;28
COLKMS8.3-100;;33
COLKMS8.32100;;37
COLKMS8.34100;;77
COLKMS8.40100;;63
COLKMS8---100;;32
COLKMS9.1-100;;21
COLKMS9.13100;;7
COLKMS9.3-100;;42
COLKMS9---100;;25
COLKMSMCDR100;;10
COLKMSMCUI100;;46
COLKMSMDOR100;;36
COLKMSMRED100;;46
COLKMYOCHO250;;0
COLKMYOCUV250;;0
COLKMYOLIL250;;0
COLKMYOMAG250;;0
COLKMYOMIL250;;0
COLKMYOROS250;;0
COLKMYOROU250;;0
COLKMYOSIL250;;0
COLKMYOVIO250;;0
COLKS01/00100;;0
COLKS01/01100;;-2
COLKS03/00100;;10
COLKS04/00100;;4
COLKS04/02100;;5
COLKS04/03100;;3
COLKS04/07100;;-5
COLKS04/77100;;11
COLKS05/00100;;4
COLKS05/02100;;3
COLKS05/03100;;6
COLKS05/04100;;1
COLKS05/06100;;7
COLKS05/07100;;1
COLKS05/35100;;5
COLKS05/56100;;4
COLKS05/62100;;0
COLKS05/66100;;3
COLKS05/77100;;3
