Hauteur de Ton;Naturels / Bases froides (.0 / .01);;;;Cendrés (.1 / .11);(.12 / .13);;Dorés (.3);Dorés violines (.32);;Dorés acajou (.35);Cuivrés (.4 / .43 / .44 / .45);;;Acajous / Rouges (.5 / .55 / .6);;;;;Violines (.20)
1 / 3 / 4;1:COLKMS1---100;3:COLKMS3---100;4:COLKMS4---100;;1.11:COLKMS1.11100;.12:COLKMS.12-100;;;;;;;4.45:COLKMS4.45100;;;;;4.65:COLKMS4.65100;;4.20:COLKMS4.20100
5 (Châtain Clair);5:COLKMS5---100;;;;5.1:COLKMS5.1-100;;;5.3:COLKMS5.3-100;;;5.35:COLKMS5.35100;5.4:COLKMS5.4-100;;5.41:COLKMS5.41100;5.5:COLKMS5.5-100;5.60:COLKMS5.60100;;;5.66:COLKMS5.66100;5.20:COLKMS5.20100
6 (Blond Foncé);6:COLKMS6---100;;;;6.1:COLKMS6.1-100;;6.13:COLKMS6.13100;6.3:COLKMS6.3-100;6.32:COLKMS6.32100;;;6.4:COLKMS6.4-100;6.34:COLKMS6.34100;6.41:COLKMS6.41100;6.46:COLKMS6.46100;6.60:COLKMS6.60100;6.64:COLKMS6.64100;;6.66:COLKMS6.66100;
7 (Blond);7:COLKMS7---100;;;;7.1:COLKMS7.1-100;;7.13:COLKMS7.13100;7.3:COLKMS7.3-100;7.32:COLKMS7.32100;;7.35:COLKMS7.35100;7.4:COLKMS7.4-100;7.45:COLKMS7.45100;7.40:COLKMS7.40100;;;;;7.66:COLKMS7.66100;
8 (Blond Clair);8:COLKMS8---100;;;;8.1:COLKMS8.1-100;;8.13:COLKMS8.13100;8.3:COLKMS8.3-100;8.32:COLKMS8.32100;8.34:COLKMS8.34100;;;8.04:COLKMS8.04100;8.40:COLKMS8.40100;;;;;;
9 (Blond Très Clair);9:COLKMS9---100;;;MIX CENDRE:COLKMSMCDR100;9.1:COLKMS9.1-100;;9.13:COLKMS9.13100;9.3:COLKMS9.3-100;;;;;;;;;;;;
10 (Platine);10:COLKMS10--100;100:COLKMS100-100;110:COLKMS110-100;113:COLKMS113-100;10.1:COLKMS10.1100,;121:COLKMS121-100;10.13:COLKMS10.1100;MIX DORE:COLKMSMDOR100;;;;MIX CUIVRE:COLKMSMCUI100;;;;MIX ROUGE:COLKMSMRED100;;;;
