Hauteur de Ton;Naturels / Bases froides (.0 / .01);;;;Cendrés (.1 / .11);Irisés / Perle (.2 / .27 / .7);Dorés (.3 / .34);;Cuivrés (.4 / .43 / .44 / .45);;;Acajous / Rouges (.5 / .55 / .6);;Violines (.7);Marrons / Chocolats (.8 / .81 / .88);
1 / 3 / 4;1:COLELC1---100;3:COLELC3---100;4:COLELC4---100;4.0:COLELC4.0-100;1.1:COLELC1.1-100;;;;;;;;;4.7:COLELC4.7-100;4.8:COLELC4.8-100;
5 (Châtain Clair);5:COLELC5---100;5.0:COLELC5.0-100;5.01;;5.1:COLELC5.1-100;;5.3:COLELC5.3-100;;5.4:COLELC5.4-100;;;5.5:COLELC5.5-100;5.6:COLELC5.6-100;5.7:COLELC5.7-100;5.8:COLELC5.8-100;5.81:COLELC5.81100
6 (Blond Foncé);6:COLELC6---100;6.0:COLELC6.0-100;6.01;;6.1:COLELC6.1-100;6.27:COLELC6.27100;6.3:COLELC6.3-100;;6.4:COLELC6.4-100;6.43:COLELC6.43100;6.44:COLELC6.44100;6.5:COLELC6.5-100;6.55:COLELC6.55100;;6.8:COLELC6.8-100;6.81:COLELC6.81100
7 (Blond);7:COLELC7---100;7.0:COLELC7.0-100;7.01;;7.1:COLELC7.1-100;7.27:COLELC7.27100;7.3:COLELC7.3-100;;7.4:COLELC7.4-100;7.43:COLELC7.43100;7.44:COLELC7.44100;;7.55:COLELC7.55100;;7.8:COLELC7.8-100;7.81:COLELC7.81100
8 (Blond Clair);8:COLELC8---100;8.0:COLELC8.0-100;8.01;;8.1:COLELC8.1-100;8.27:COLELC8.27100;8.3:COLELC8.3-100;8.34:COLELC8.34100;8.4:COLELC8.4-100;;;;;;8.8:COLELC8.8-100;
9 (Blond Très Clair);9:COLELC9---100;9.0:COLELC9.0-100;9.01;;9.1:COLELC9.1-100;9.27:COLELC9.27100;9.3:COLELC9.3-100;;;;;;;;;
10 (Platine);10:COLELC10--100;10.0:COLELC10.0100;10.01;;10.1:COLELC10.1100;10.27:COLELC1027100;10.3:COLELC10.3100;;;;;;;;;
