Hauteur de Ton;Naturels (.0);Cendrés (.1);Irisés/Perle (.2 / .7);Dorés (.3);Cuivrés (.4);Acajous/Rouges (.5 / .6);Marrons/Chauds (.8 / .9)
1 / 3 / 4;1:COLELD1---100;3:COLELD3---100;4:COLELD4---100;1.1:COLELD1.1-100;4.7:COLELD4.7-100;;;4.6:COLELD4.6-100;4.83:COLELD4.83100;4.8MK:COLELD4.8M100
5 (Châtain Clair);5:COLELD5---100;5.01:COLELD5.01100;5.1:COLELD5.1-100;5.2:COLELD5.2-100;5.7:COLELD5.7-100;5.3:COLELD5.3-100;;5.5:COLELD5.5-100;5.55:COLELD5.55100;5.6:COLELD5.6-100;5.83:COLELD5.83100;5.88:COLELD5.88100;5.8MK:COLELD5.8M100
6 (Blond Foncé);6:COLELD6---100;6.01:COLELD6.01100;6.1:COLELD6.1-100;6.2:COLELD6.2-100;6.7;6.3:COLELD6.3-100;6.4:COLELD6.4-100;6.44:COLELD6.44100;6.5:COLELD6.5-100;6.83:COLELD6.83100;6.88:COLELD6.88100;6.8MK:COLELD6.8M100
7 (Blond);7:COLELD7---100;7.01:COLELD7.01100;7.1:COLELD7.1-100;;7.3:COLELD7.3-100;7.4:COLELD7.4-100;7.44:COLELD7.44100;;7.83:COLELD7.83100;7.88:COLELD7.88100;7.8MK:COLELD7.8M100
8 (Blond Clair);8:COLELD8---100;8.01:COLELD8.01100;8.1:COLELD8.1-100;8.2:COLELD8.2-100;8.3:COLELD8.3-100;8.4:COLELD8.4-100;;
9 (Blond Très Clair);9:COLELD9---100;9.1:COLELD9.1-100;9.2:COLELD9.2-100;923:COLELD923-100;9.3:COLELD9.3-100;;;907:COLELD907-100;911:COLELD911-100
