Type de Reflet;Codes et Noms des Nuances;;;;;;
Blonds & Beiges;C/17 White Platinum:COLELIC/17200;C/23 Light Beige:COLELIC/23200;;;;;
Cuivrés & Dorés;C/3 Extra Light Gold:COLELIC/03200;C/34 Copper Golden:COLELIC/34200;C/4 Copper:COLELIC/04200;C/44 Deep Copper:COLELIC/44200;;;
Rouges & Violets;C/6 Mahogany:COLELIC/06200;C/55 Deep Red:COLELIC/55200;C/56 Ruby Red:COLELIC/56200;C/77 Deep Violet:COLELIC/77200;;;
Marrons & Divers;C/8 Moka:COLELIC/08200;C/111 Sea Blue:COLELIC111200;C/991 Mineral Green:COLELIC991200;;;;
Pastels;C/026 Pastel Pink:COLELIC026200;C/057 Pastel Fuchsia:COLELIC057200;C/071 Pastel Violet:COLELIC071200;;;;
